year,partner,value,serie
1725,Italie,6234.5,blé imports
1726,Italie,8.0,blé imports
1728,Italie,160.0,blé imports
1730,Italie,450.0,blé imports
1731,Italie,2475.0,blé imports
1732,Italie,2244.0,blé imports
1739,Italie,169728.0,blé imports
1740,Italie,622385.75,blé imports
1741,Italie,1246490.0,blé imports
1742,Italie,452092.9,blé imports
1743,Italie,206975.0,blé imports
1744,Italie,24996.0,blé imports
1745,Italie,137309.9999999,blé imports
1746,Italie,483640.0002,blé imports
1747,Italie,1030224.0,blé imports
1748,Italie,291528.750084875,blé imports
1749,Italie,2368059.0,blé imports
1751,Italie,1606365.00005,blé imports
1752,Italie,2315088.0,blé imports
1753,Italie,81491.39998819999,blé imports
1754,Italie,413375.9999825,blé imports
1755,Italie,567817.9999673,blé imports
1756,Italie,388214.0000521,blé imports
1757,Italie,1553799.999998,blé imports
1758,Italie,2394374.00002,blé imports
1759,Italie,3331757.2499912246,blé imports
1761,Italie,450093.20000734995,blé imports
1762,Italie,797136.0000012,blé imports
1763,Italie,613672.0,blé imports
1764,Italie,550644.0000014,blé imports
1765,Italie,1613931.0000135,blé imports
1766,Italie,1219125.000003,blé imports
1767,Italie,375675.00006389996,blé imports
1768,Italie,3084461.000079,blé imports
1769,Italie,2716343.00008,blé imports
1770,Italie,6574628.500032489,blé imports
1771,Italie,16138726.0000668,blé imports
1772,Italie,3686231.250111425,blé imports
1773,Italie,1535107.00002124,blé imports
1774,Italie,1832389.5001255502,blé imports
1775,Italie,1639894.0100608,blé imports
1776,Italie,4969175.764652611,blé imports
1777,Italie,5962510.387623299,blé imports
1778,Italie,4482056.900004281,blé imports
1779,Italie,572257.50007865,blé imports
1780,Italie,622274.5003730899,blé imports
1787,Italie,3235494.839974088,blé imports
1789,Italie,9612525.32024,blé imports
1750,Italie,926870.0,blé imports
1725,Levant et Barbarie,41032.0,blé imports
1726,Levant et Barbarie,191451.0,blé imports
1727,Levant et Barbarie,231425.0000029,blé imports
1728,Levant et Barbarie,399750.0,blé imports
1729,Levant et Barbarie,215676.0,blé imports
1730,Levant et Barbarie,14265.0,blé imports
1731,Levant et Barbarie,139350.0,blé imports
1732,Levant et Barbarie,7560.0,blé imports
1733,Levant et Barbarie,61612.50000905,blé imports
1735,Levant et Barbarie,180.0,blé imports
1736,Levant et Barbarie,6608.750052175,blé imports
1737,Levant et Barbarie,135231.709962298,blé imports
1738,Levant et Barbarie,38608.50003409,blé imports
1739,Levant et Barbarie,537922.0,blé imports
1740,Levant et Barbarie,752450.25,blé imports
1741,Levant et Barbarie,1634160.0,blé imports
1742,Levant et Barbarie,1041564.499982325,blé imports
1743,Levant et Barbarie,1490598.5,blé imports
1744,Levant et Barbarie,1410460.0,blé imports
1745,Levant et Barbarie,32567.9999688,blé imports
1746,Levant et Barbarie,898002.9999944,blé imports
1747,Levant et Barbarie,720072.0,blé imports
1748,Levant et Barbarie,692328.0,blé imports
1749,Levant et Barbarie,2032830.0,blé imports
1751,Levant et Barbarie,2319619.0,blé imports
1752,Levant et Barbarie,4268449.99999975,blé imports
1753,Levant et Barbarie,5880952.0,blé imports
1754,Levant et Barbarie,4597369.0,blé imports
1755,Levant et Barbarie,1010850.50000021,blé imports
1756,Levant et Barbarie,147600.0,blé imports
1757,Levant et Barbarie,757416.0,blé imports
1758,Levant et Barbarie,295950.0,blé imports
1759,Levant et Barbarie,107310.0,blé imports
1761,Levant et Barbarie,426914.700000974,blé imports
1762,Levant et Barbarie,603348.0,blé imports
1763,Levant et Barbarie,416880.0,blé imports
1764,Levant et Barbarie,387768.0,blé imports
1765,Levant et Barbarie,3609846.0,blé imports
1766,Levant et Barbarie,1684587.0000096,blé imports
1767,Levant et Barbarie,2957940.0,blé imports
1768,Levant et Barbarie,5011830.0,blé imports
1769,Levant et Barbarie,2143858.50032704,blé imports
1770,Levant et Barbarie,1400289.0,blé imports
1771,Levant et Barbarie,2445695.9999998,blé imports
1772,Levant et Barbarie,2841983.0,blé imports
1773,Levant et Barbarie,3958684.0,blé imports
1774,Levant et Barbarie,3903117.9005003297,blé imports
1775,Levant et Barbarie,3954282.50186233,blé imports
1776,Levant et Barbarie,4864985.0033738995,blé imports
1777,Levant et Barbarie,1179064.0006343,blé imports
1778,Levant et Barbarie,972200.0,blé imports
1779,Levant et Barbarie,7114000.0,blé imports
1787,Levant et Barbarie,2538818.08,blé imports
1789,Levant et Barbarie,2045924.04,blé imports
1750,Levant et Barbarie,1348852.0,blé imports
1728,Espagne,400.0,blé imports
1739,Espagne,8946.0,blé imports
1740,Espagne,2226.25,blé imports
1741,Espagne,2100.0,blé imports
1742,Espagne,593538.0,blé imports
1743,Espagne,745049.99999895,blé imports
1744,Espagne,306600.0,blé imports
1745,Espagne,2064.0,blé imports
1746,Espagne,288100.000115,blé imports
1747,Espagne,1111441.49998595,blé imports
1748,Espagne,589287.0,blé imports
1749,Espagne,45735.0,blé imports
1751,Espagne,44412.0,blé imports
1752,Espagne,72418.500127,blé imports
1753,Espagne,103160.0,blé imports
1754,Espagne,17820.0,blé imports
1755,Espagne,568040.9999994,blé imports
1756,Espagne,1794557.50008035,blé imports
1757,Espagne,414166.00000372,blé imports
1758,Espagne,58690.0,blé imports
1759,Espagne,118536.00003276,blé imports
1761,Espagne,7181.0000016,blé imports
1762,Espagne,156.00000312,blé imports
1763,Espagne,2088.0,blé imports
1764,Espagne,103116.0000415,blé imports
1765,Espagne,52515.0,blé imports
1766,Espagne,328800.0,blé imports
1767,Espagne,147728.0,blé imports
1768,Espagne,22350.0,blé imports
1769,Espagne,10950.0,blé imports
1770,Espagne,207455.0,blé imports
1771,Espagne,38272.0,blé imports
1772,Espagne,48870.50005909,blé imports
1773,Espagne,229346.0,blé imports
1774,Espagne,973430.5,blé imports
1775,Espagne,220655.50303645,blé imports
1776,Espagne,36550.000016,blé imports
1777,Espagne,70125.00003,blé imports
1778,Espagne,119700.000503,blé imports
1779,Espagne,60180.0,blé imports
1780,Espagne,36950.0001254,blé imports
1787,Espagne,98846.64,blé imports
1789,Espagne,306557.4412,blé imports
1750,Espagne,144077.801,blé imports
1740,Hollande,20700.0,blé imports
1742,Hollande,8388.0,blé imports
1743,Hollande,586164.0,blé imports
1744,Hollande,528524.0,blé imports
1745,Hollande,213784.0,blé imports
1746,Hollande,93010.0,blé imports
1747,Hollande,1036110.0,blé imports
1748,Hollande,395640.0,blé imports
1749,Hollande,2113424.0,blé imports
1751,Hollande,1414600.0,blé imports
1752,Hollande,321924.0,blé imports
1753,Hollande,66000.0,blé imports
1754,Hollande,130600.0,blé imports
1755,Hollande,213546.0,blé imports
1756,Hollande,506980.0,blé imports
1757,Hollande,9280.0,blé imports
1758,Hollande,52624.0,blé imports
1759,Hollande,401570.0,blé imports
1761,Hollande,474530.0,blé imports
1762,Hollande,16320.0,blé imports
1763,Hollande,63300.0,blé imports
1764,Hollande,454480.0,blé imports
1765,Hollande,184230.0,blé imports
1766,Hollande,687240.0,blé imports
1767,Hollande,1307992.0,blé imports
1768,Hollande,287160.0,blé imports
1769,Hollande,4000.0,blé imports
1770,Hollande,222090.0,blé imports
1771,Hollande,48000.0,blé imports
1772,Hollande,113688.0,blé imports
1773,Hollande,183552.0,blé imports
1774,Hollande,579030.0,blé imports
1775,Hollande,61139.0,blé imports
1777,Hollande,3000.0,blé imports
1778,Hollande,845265.056151,blé imports
1779,Hollande,905580.0,blé imports
1780,Hollande,203630.0,blé imports
1787,Hollande,37950.0,blé imports
1789,Hollande,361980.0,blé imports
1750,Hollande,1834125.0,blé imports
1743,Nord,51732.0,blé imports
1744,Nord,28800.0,blé imports
1748,Nord,32250.0,blé imports
1749,Nord,238625.0,blé imports
1751,Nord,243525.0,blé imports
1752,Nord,240168.0,blé imports
1753,Nord,49560.0,blé imports
1755,Nord,4928.0,blé imports
1759,Nord,70200.0,blé imports
1761,Nord,92884.0,blé imports
1763,Nord,2250.0,blé imports
1765,Nord,54360.0,blé imports
1766,Nord,204330.0,blé imports
1767,Nord,182909.5,blé imports
1768,Nord,227250.0,blé imports
1769,Nord,33000.0,blé imports
1770,Nord,6000.0,blé imports
1772,Nord,243234.0,blé imports
1773,Nord,682560.0,blé imports
1774,Nord,1334536.0,blé imports
1775,Nord,75150.0,blé imports
1776,Nord,6210.0,blé imports
1777,Nord,57550.000971,blé imports
1778,Nord,372660.0,blé imports
1779,Nord,892730.0,blé imports
1780,Nord,385320.0,blé imports
1787,Nord,1200.0,blé imports
1789,Nord,42756.0,blé imports
1750,Nord,283525.0,blé imports
1743,Portugal,6930.0,blé imports
1756,Portugal,30000.0,blé imports
1744,Angleterre,22284.0,blé imports
1748,Angleterre,1287840.0,blé imports
1749,Angleterre,9270994.0,blé imports
1751,Angleterre,3582225.0,blé imports
1752,Angleterre,2022672.0,blé imports
1753,Angleterre,620220.0,blé imports
1754,Angleterre,130100.0,blé imports
1755,Angleterre,407968.0,blé imports
1763,Angleterre,28320.0,blé imports
1764,Angleterre,170625.0,blé imports
1765,Angleterre,76500.0,blé imports
1766,Angleterre,506380.0,blé imports
1767,Angleterre,378696.0,blé imports
1768,Angleterre,34800.0,blé imports
1769,Angleterre,5400.0,blé imports
1770,Angleterre,124250.0,blé imports
1771,Angleterre,195300.0,blé imports
1772,Angleterre,59160.0,blé imports
1773,Angleterre,25884.0,blé imports
1774,Angleterre,483690.0000048,blé imports
1775,Angleterre,44645.5018167,blé imports
1776,Angleterre,66630.0,blé imports
1777,Angleterre,41580.0,blé imports
1778,Angleterre,36000.0,blé imports
1787,Angleterre,156000.0,blé imports
1750,Angleterre,5747425.0,blé imports
1777,Amériques,1230.0,blé imports
1787,Flandre et autres états de l'Empereur,192300.0,blé imports
1787,États-Unis d'Amérique,586680.0,blé imports
1789,États-Unis d'Amérique,335676.0,blé imports
1725,Espagne,171.08,blé exports
1739,Espagne,299928.0,blé exports
